label,value,standard_error,expression,maximum,minimum,non_negative,vary
osc.freq.1,1524.57239,None,None,,,False,False
osc.freq.2,1192.94092,None,None,,,False,False
osc.freq.3,1158.09082,None,None,,,False,False
osc.freq.4,1003.4494,None,None,,,False,False
osc.freq.5,982.669128,None,None,,,False,False
osc.freq.6,803.801514,None,None,,,False,False
osc.freq.7,721.924377,None,None,,,False,False
osc.freq.8,499.621704,None,None,,,False,False
osc.freq.9,397.539307,None,None,,,False,False
osc.freq.10,294.353363,None,None,,,False,False
osc.freq.11,251.637604,None,None,,,False,False
osc.freq.12,97.3489761,None,None,,,False,False
osc.freq.13,34.5177422,None,None,,,False,False
osc.freq.14,630.095703,None,None,,,False,False
osc.freq.15,1441.5509,None,None,,,False,False
osc.freq.16,2454.68579,None,None,,,False,False
osc.freq.17,1443.96948,None,None,,,False,False
osc.freq.18,1448.87329,None,None,,,False,False
osc.freq.19,1399.99622,None,None,,,False,False
osc.rates.1,1.54321623,None,None,,,False,False
osc.rates.2,2.81070209,None,None,,,False,False
osc.rates.3,1.07494009,None,None,,,False,False
osc.rates.4,1.65555012,None,None,,,False,False
osc.rates.5,5.95444632,None,None,,,False,False
osc.rates.6,0.200000003,None,None,,,False,False
osc.rates.7,0.204981476,None,None,,,False,False
osc.rates.8,0.886999667,None,None,,,False,False
osc.rates.9,0.801029027,None,None,,,False,False
osc.rates.10,1.83298051,None,None,,,False,False
osc.rates.11,1.09177792,None,None,,,False,False
osc.rates.12,0.317949504,None,None,,,False,False
osc.rates.13,2.02649665,None,None,,,False,False
osc.rates.14,19.9859161,None,None,,,False,False
osc.rates.15,-7.97763205,None,None,,,False,False
osc.rates.16,-8.3003521,None,None,,,False,False
osc.rates.17,-6.16778708,None,None,,,False,False
osc.rates.18,-7.08424282,None,None,,,False,False
osc.rates.19,-8.0002079,None,None,,,False,False
j.1,1.0,None,None,,,False,False
j.0,0.0,None,None,,,False,False
kinetic.1,5.96975613,None,None,,,False,False
kinetic.2,2.64231563,None,None,,,False,False
kinetic.3,0.110913947,None,None,,,False,False
irf.center,0.0127411373,None,None,,,False,True
irf.width,0.006,None,None,,,True,False
irf.dispcenter,600.0,None,None,,,False,False
irf.disp1,-0.0211437792,None,None,,,False,True
irf.disp2,0.0106876018,None,None,,,False,True
artifact.CAwidth,0.0187562369,None,None,,,True,True
