label,value,standard_error,expression,maximum,minimum,non_negative,vary
rates.k1,0.049962937686277784,1.069977702237552e-05,None,,,True,True
rates.k2,1.9912731659756724,0.006605792812191395,None,,,True,True
rates.k3,0.49901801799932594,0.0009206715857124097,None,,,True,True
inputs.1,0.5,None,None,,,True,False
inputs.2,0.2421513706245817,0.2421513706245817,None,,,True,True
inputs.3,0.36316151399639357,0.36316151399639357,None,,,True,True
inputs.7,0.16130602018198947,0.16130602018198947,None,,,True,True
inputs.8,0.3115494067888899,0.3115494067888899,None,,,True,True
inputs.9,0.09625647854080883,0.09625647854080883,None,,,True,True
inputs.10,0.20794335721979385,0.20794335721979385,None,,,True,True
irf.center1,0.49997540180678995,2.0327136450559673e-05,None,,,True,True
irf.center2,0.4000241078134959,3.635803379042977e-05,None,,,True,True
irf.center3,0.4499863772112019,0.00012618305440136103,None,,,True,True
irf.width1,0.0599548080998044,2.2895359023849435e-05,None,,,True,True
irf.width2,0.11972892596642047,0.00017070181077353847,None,,,True,True
scale.1,1.0,None,None,,,True,False
scale.2,0.8800495567207333,0.8800495567207333,None,,,True,True
scale.3,72.73623223597555,485.4541834761481,None,,,True,True
area.1,1.0,None,None,,,False,False
